particle,diagonal size,msd power,straightness,dead/alive (0/1)
0,2.2575802196233727,-0.0386098273078263,0.1245964548578237,0.0
1,4.921257222186724,1.0613920342603391,0.0614975835659705,0.0
3,5.562586908839238,1.1045050915537735,0.0520853405121372,0.0
4,5.174131708701129,0.8635204481624803,0.0464402135859816,0.0
5,4.395475471419688,0.6770456809923081,0.1203858262476887,0.0
6,5.6257099159951105,0.7603520964589454,0.0498798439136602,0.0
7,4.759521969475502,0.4716477966776706,0.0961614820960043,0.0
9,4.669219030580113,0.8369904179829963,0.0416501927318664,0.0
10,4.348511373441029,0.2961412887425237,0.0378768944624484,0.0
11,4.316655050977675,0.6296710049805772,0.0371814153189046,0.0
12,4.793340141591881,0.7739581380770844,0.0508701449952037,0.0
13,3.0562874787244967,0.234251617257751,1.109143882470151,0.0
14,4.888024981441658,0.4704297462022674,0.0930570415280825,0.0
15,5.493969209411416,0.4436377691885914,0.1350386105143258,0.0
16,4.251142555299273,0.7243866255389735,0.0566099324846303,0.0
17,6.801793815631202,1.1156648987826334,0.0581650768317669,0.0
18,5.04915959336692,0.3746855474319638,0.0379723324119812,0.0
19,7.166903414330686,1.174518186916788,0.1202594149164222,0.0
20,6.469058238481714,1.3762314303715235,0.8078237726889665,0.0
21,4.986064954189646,0.92045625037788,0.0448677173089578,0.0
22,4.543977133286349,0.707389602382581,0.0382570569450596,0.0
23,4.354163515416468,0.5107965163254709,0.0742695501355309,0.0
24,7.5200241395600225,1.3680650767438325,0.0660352695787095,0.0
26,5.604717844478851,1.121231688526762,-30.547954139547528,0.0
27,3.362201716304431,1.1090127326953665,0.1196248190059407,0.0
28,4.796154151155208,0.7189269559934113,0.0402685015099869,0.0
29,5.227662156946692,1.010785599364292,0.057062156071535,0.0
30,3.662814309785427,1.699385669013412,0.2927997089804102,0.0
31,2.125985814225748,0.2945898102193648,0.1281915413752812,0.0
32,4.40362806720616,0.9722457052950244,0.0431626414085462,0.0
33,4.011471541302375,0.5517736087697112,0.0301257194990291,0.0
34,4.205854719316729,0.6952462956261769,0.0413838880703563,0.0
35,3.877517438839226,0.6928928994258373,0.0367081586731639,0.0
36,4.753023670945218,0.3548417709671268,0.0351886948863574,0.0
37,10.169206598328667,0.740221469942226,0.0840022862462119,0.0
38,8.336382544314803,1.2057908829652804,0.0742579767625608,0.0
39,3.906160002365565,0.4833769461149817,0.0411412263652689,0.0
40,4.600246190762223,1.024073765674258,0.0520672147051916,0.0
41,5.977305160434431,1.1576056129432508,0.052338881380169,0.0
42,3.2305515686784565,0.6114598214344377,0.3327018228889851,0.0
43,3.341070327566128,0.3847770693133511,0.0769122046226063,0.0
44,5.145347976911758,0.3545758259738787,0.0354290952706845,0.0
