frame,index,y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle
0,0,12.010299261562379,718.2114263505636,515030.30941341625,3.2386907480289087,0.2783449990385526,12710.619762048944,1597008.5,0.002703351386155985,0,0
0,22,702.2487903225806,510.18931451612906,496414.75606112415,3.2783195439520636,0.2926442425726587,11909.950800660034,1669467.5,0.0025859703588014156,0,22
1,0,12.651291901684417,718.3415985719537,501554.89167617605,3.3184047706617594,0.26800967289322297,12663.980160424726,1583827.5,0.0029228873877504453,1,0
1,22,704.0560905544181,507.7337485271465,507376.2373950809,3.4066513986630453,0.32952516920050584,11234.17594876387,1684080.5,0.002748833073792513,1,22
2,0,12.618174942052645,717.9863283676038,512011.2201495318,3.3044582679229655,0.30816874695846075,12800.280503738295,1615761.5,0.0013076445261246373,2,0
2,22,705.0895410026011,506.024744864146,509471.48195434565,3.3942946676926296,0.33049680035537327,11784.385225663827,1673373.0,0.0012626176751132424,2,22
3,0,12.974818360607486,718.8515499388303,517230.9036126619,3.314606799822673,0.28764953253970993,12557.50807853337,1612749.5,0.0022643464081675783,3,0
3,22,706.2627085688979,503.8177838062242,493104.6676192592,3.4469540001115626,0.35973118105713986,11074.337833037303,1625247.5,0.002246928821215672,3,22
4,0,13.051724479045827,717.4845620889364,505600.78946075804,3.273208567270535,0.285704338975325,13060.529199377703,1619753.0,0.004326321094922186,4,0
4,22,708.1114823337157,500.50674978382466,504215.58181839983,3.4108976706927465,0.3480672287192098,11378.491347942696,1679823.0,0.004171496437253292,4,22
5,0,13.047954967357336,718.134506430069,525582.9324891203,3.222888691213587,0.2887140980614859,13692.740170567982,1723047.5,0.003953177126768718,5,0
5,22,709.9633659014827,498.38612613849165,495518.43776678626,3.476564943240019,0.3411516000246867,11212.171299088275,1717830.0,0.00396519620108022,5,22
6,0,12.969205143277785,717.2208011922938,530374.5862573251,3.190160256838604,0.26065357562333313,13847.120114531968,1696497.0,0.003405996420978627,6,0
6,22,710.8088878950211,497.15304083347263,506167.0309491866,3.387056413960086,0.3224200383233027,12053.967869484664,1709416.0,0.003380241648590461,6,22
7,0,13.231071498665154,718.410947713023,533085.6698017166,3.212673516586054,0.289210543312722,13806.958016539684,1670829.5,0.002104887707100952,7,0
7,22,712.702454683783,495.9167272162833,475018.1087818015,3.3583783916590706,0.3134936039181392,11456.83750308612,1630790.0,0.002156579452257916,7,22
8,0,13.171682832180865,717.1756045457471,532172.9908298008,3.1767846094973087,0.2508042824746677,13798.180512095189,1726403.0,0.002916544838300909,8,0
8,22,715.2169734894553,493.4191680043643,500407.3954062723,3.33680966647005,0.34454789144689535,12507.703198014344,1698589.0,0.002964324932917784,8,22
9,0,13.43390522674076,718.1696584544238,533367.7704374234,3.228712625599074,0.24197770609759117,12569.941799524495,1765835.5,0.001582703566241545,9,0
9,22,716.5972525181362,491.63431709122085,485400.8725304379,3.3511127248597914,0.34685391795262394,12368.822730732103,1678610.5,0.0016649593438833406,9,22
10,0,13.310980917104326,717.6242941947265,552900.8864584054,3.263061553726541,0.31497857658513384,13531.838229130663,1751711.0,0.004134284232255283,10,0
10,22,718.0970457504418,489.94552490913725,465094.2917271576,3.393420357712544,0.33340983396597074,10825.47058330453,1619413.0,0.004472322569685476,10,22
11,0,13.537622420365224,718.4252131226827,514756.8090078697,3.2232441374830003,0.26081122064702444,12684.551740595069,1686751.5,0.0017689439128611587,11,0
11,22,719.1758473016313,487.966790984411,444647.619930007,3.4011926518661597,0.29969077910836706,10521.29485460211,1599413.5,0.0018655582329072321,11,22
12,0,12.716157778582762,717.6341996173118,509808.32501516334,3.3494085910257927,0.3146775103906678,12159.477210949213,1724278.0,0.005071968751216851,12,0
