frame,index,y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle
0,0,25.443187407771767,591.5218888342351,1197.5991281988988,2.552064835335888,0.2276000057677921,54.19533683930088,1712.0,,0,0
0,4,450.73987268518516,873.206886574074,2035.8596099633025,2.6962336556622697,0.3425142374690968,83.6493242519644,3310.0,,0,4
0,6,502.9462365591398,508.56774193548387,2191.3766635021657,2.562340999525524,0.032529538897044505,74.22404827991207,3292.0,,0,6
0,10,609.7099802371541,447.1017786561265,1192.2974104646194,2.0573544930034355,0.1585510910668203,71.27864953864572,232.0,,0,10
0,14,624.8015772870663,230.67539432176656,1867.3828019628672,2.9625421771545395,0.43244487393420095,72.45680903515226,1895.0,,0,14
0,17,638.362672663026,110.80179890780597,1833.8052563124306,2.54771365035432,0.3085027594847582,75.99128752467188,264.0,,0,17
0,20,676.2776289350302,42.613529805760216,1758.9921282842654,2.6870107539223906,0.3423401644859545,72.45680903515226,224.0,,0,20
0,21,734.6641867624422,414.2616726526424,2296.232858691248,3.1951653447509707,0.39902882012589835,65.97693180436629,3807.0,,0,21
0,23,759.9847030593882,173.22075584883024,1963.9918806764035,3.027518261982027,0.34825519584214654,66.56601155261956,2091.0,,0,23
0,24,403.1942022154136,1009.9391939665331,2499.465371838626,3.5040127160593917,0.5615077490283059,67.15509130087283,1451.0,,0,24
0,26,606.3539510224691,854.5268871497096,2333.344882831204,3.601943428975392,0.3915560854109831,54.78441658755415,3224.0,,0,26
0,27,343.18004625041294,26.090188305252724,1783.1443979626495,3.416085465485191,0.2247160124528848,53.017177342794334,2829.0,,0,27
0,28,363.701690821256,380.98590982286635,1463.2740946611236,3.2860168292713334,0.2985842620548438,43.00282162248874,2656.0,,0,28
0,29,36.90469904963041,810.7410242872228,2231.434086383388,2.8394193079458687,0.24702272336764788,72.45680903515226,3889.0,,0,29
0,31,59.60388639760837,8.678624813153961,1182.2830547443136,3.121361858311716,0.34037893100329425,44.18098111899528,1974.0,,0,31
0,32,65.82538017829052,285.8342947037231,1123.3750799189866,2.3750362236080624,0.13930563825180306,60.08613432183358,658.0,,0,32
0,36,121.54369230769231,727.218,3829.0183636462575,2.4475733665439705,0.05831309070796867,150.21533580458396,4028.0,,0,36
0,37,123.22330570453437,431.2671867381765,1208.2025636674575,2.39392209431753,0.19549843339334494,55.37349633580742,923.0,,0,37
0,42,160.09389416553594,546.0244233378562,2170.7588723133013,2.0829474993237205,0.06895000392303521,121.93950788842697,1886.0,,0,42
0,51,232.04768751497724,889.4325425353463,2458.2297894608973,2.5850498305463785,0.2620552932154232,107.80159393034849,2333.0,,0,51
1,0,19.549080433539558,595.9668731906911,1321.5021636665567,2.4823438329686045,0.1924490352936518,61.84513437026711,1655.0,,1,0
1,4,451.6814868457074,869.9261522871528,2117.320685185843,2.673827301582573,0.29935240360075416,81.09880827799178,3259.0,,1,4
1,6,503.26099341631345,509.11317986414997,2047.8907701852602,2.589426230872045,0.039595228838506594,71.76369365606467,2895.0,,1,6
1,10,610.2468862823164,447.59187971608543,1273.07625656531,2.26225150049953,0.17797767734119935,63.595468361878446,545.0,,1,10
1,14,625.4262061091124,230.57487978342112,1945.7879540079323,2.959294052532685,0.44157917921023787,72.34713831993511,1761.0,,1,14
1,17,638.8870527589582,111.62627554895299,1794.0923414016167,2.469982390246959,0.2743087847126176,76.43125096702822,222.0,,1,17
1,20,676.6055851970531,42.7415857004714,1990.1297484620861,2.6664467807321213,0.37778638468643255,85.18292092508489,680.0,,1,20
1,21,737.6157640723143,414.4508725661174,2276.6010784224745,3.0446447427296115,0.3384784406322014,64.76235768961934,3967.0,,1,21
1,23,760.6983058172242,173.91253615639332,1812.762570645471,2.941495845890935,0.3235296540171941,63.595468361878446,1782.0,,1,23
1,24,404.3588547898327,1011.1092831030164,2305.7733116159966,3.417403067344611,0.5642103972280292,71.76369365606467,1133.0,,1,24
1,26,608.9517160687756,852.7664510719642,2099.8173452697297,3.5146262879392025,0.36313962528065485,54.260353739951334,3049.0,,1,26
1,27,343.60757646289653,26.790779537204212,1976.710521193066,3.365610161493743,0.16807139886644137,64.76235768961934,3046.0,,1,27
1,28,362.45421918187964,384.0245620989365,1508.2044561050989,3.329720801952547,0.20070369307802902,40.841126470931115,2953.0,,1,28
1,29,31.218670076843196,809.542939548118,2044.9735468659078,2.7357202850234397,0.23984794395210013,71.18024899219422,3212.0,,1,29
1,31,60.308138492553894,9.249196414836474,1193.144337615059,3.375229775751542,0.28292599145758485,34.42323516835622,1899.0,,1,31
1,32,66.61598886943423,286.1038367652164,1182.6423336653909,2.431904368072767,0.19039219380263714,54.260353739951334,767.0,,1,32
1,36,121.85879651453038,727.9017448563757,3665.7828230980026,2.4225057563898917,0.025241841535017066,148.77838928696335,3715.0,,1,36
1,37,124.09173920868419,431.1092806463519,1141.8012071944597,2.5816260477822177,0.043573755593567715,47.84246243737645,1127.0,,1,37
1,42,160.47506639433237,546.6086468614106,2244.5116219096,2.122575988665168,0.11704236589176256,127.19093672375689,2105.0,,1,42
1,51,232.60364651870108,889.724748580586,2373.452892624968,2.411460672746815,0.23798453343171921,110.85448613538445,2152.0,,1,51
