frame,index,y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle
0,6,580.782272956186,749.637737115998,534309.3033844911,3.1767632495983484,0.13169768143152988,13812.931462348773,524901.0,0.013288999853285027,0,6
0,31,697.5473881764154,441.9648107600876,573505.7387679095,3.0258246212766204,0.12161586274627802,15965.596105831699,855505.0,0.008155065460513559,0,31
0,43,180.71017923571188,835.7646263104498,265226.22294912545,3.1041552000916997,0.18804414612920728,7624.020612335362,77664.0,0.08956843782697282,0,43
0,57,40.194845763373685,684.8828582584928,229707.25633165718,2.6432411800595337,0.12047643857813842,8520.964213786581,-9702.0,-0.7384342526975578,0,57
1,6,579.6856804355224,749.1425534287679,458421.9813662129,2.7913919979342032,0.043242284743423134,14802.188077570772,342806.0,0.03812313902712818,1,6
1,31,697.4846611027718,441.5385509499764,576661.1463713867,3.0551348203773143,0.07104321952515161,16318.074808406334,851315.5,0.015409802261914107,1,31
1,43,180.58524057698963,836.467592256514,282579.12058928784,3.164472231850575,0.21449074278529298,8292.792115747481,87423.0,0.14676701320544042,1,43
1,57,41.138443302709895,684.4537024282474,253777.27270341216,2.479643050049152,0.10572954874545576,10076.188269671671,6371.0,1.5361497007685678,1,57
2,6,579.1668195798011,749.3747046383685,465052.6123395751,2.8189837235662125,0.07336509701175309,15489.815543847995,246087.0,0.040160896683946554,2,6
2,31,697.251024758612,441.5153943122952,562916.0134345222,3.1294127425524367,0.14115734766958396,15131.669519712783,854794.5,0.011592512298302679,2,31
2,43,180.5260183606975,836.1764839189848,278189.9242470273,3.130875551455169,0.17888543944001872,7789.6760249409,111412.0,0.08831198152765803,2,43
2,57,41.330725370362735,683.950138572069,251060.36291878487,2.515359379943757,0.1169406213371611,9849.015663718379,13932.0,0.6681348169754352,2,57
3,6,579.6828482747225,749.2208500058721,462337.49946164276,2.8255009967000437,0.061425116166462734,14825.773573422777,378599.0,0.010034261204856228,3,6
3,31,697.3757964568724,442.3148766064424,536088.6406135102,3.062958650538607,0.165437304011518,14636.910215799557,819837.5,0.004634708556251956,3,31
3,43,180.0504115192596,836.0665394841242,295476.72300152783,3.165711955122577,0.17927858517712877,8404.419414233294,214356.0,0.017717716487102915,3,43
3,57,41.43271466453122,684.27881875861,281784.1295738444,2.589160742635813,0.11103348015624855,10670.779705711935,90299.0,0.042021929290813706,3,57
4,6,579.3780474754691,749.047615306941,489218.48878559563,2.8115773504833017,0.06768819782046583,16689.365503088735,378638.0,0.007401946839850455,4,6
4,31,697.4746991457991,442.9042216968222,560285.8418894076,3.1247389416325895,0.16321627471722955,15588.967777610358,789289.5,0.0035512913411039015,4,31
4,43,179.96220465063357,836.4098711358221,296832.28644779255,3.18374579021617,0.19362750945318913,8161.2831306313055,225875.5,0.012406030303539348,4,43
4,57,40.74169614987696,684.6443219769965,259693.86321289727,2.5886813605464614,0.1621888712033512,9903.579529305403,106157.5,0.02638522001823743,4,57
5,6,579.0829594277553,749.1824752167552,516254.8285607554,2.836308809003751,0.11605150779593522,16847.476922728616,379607.0,0.0,5,6
5,31,697.4134977708474,442.84582201131803,511626.40083473106,3.063291120312796,0.14233880830261703,13792.714623552547,787442.5,0.0,5,31
5,43,179.96162206011712,836.0502815280498,271411.0018540676,3.203425860575192,0.2368238490149267,7035.210143557004,142004.0,0.0,5,43
5,57,41.2763362061436,684.6812217107147,301958.6248458283,2.682401716737648,0.13134362435688554,10737.95232437648,170215.5,0.0,5,57
6,6,578.9778037544852,748.9940083296981,500432.00095277716,2.906568887799132,0.1636477768856919,15644.251592859897,410911.0,0.009547544239900058,6,6
6,31,697.766472865197,442.96962055924126,521137.6280609741,3.142054381930331,0.20105810848596617,13711.726396094851,814440.5,0.004817556935278576,6,31
6,43,180.09419025260948,836.0942572099624,292731.5548052196,3.2332075302505183,0.2507590196497929,7730.100787060184,252510.0,0.015534656546961342,6,43
6,57,41.27175790210461,684.7334293084965,288406.3793648407,2.6421307948708463,0.09995588451421594,10030.726021304286,188208.5,0.02083955952938882,6,57
7,6,578.788518517785,749.0832903177696,485142.5013443771,2.9701552826049076,0.17516670222596337,14547.70510899177,392148.0,0.015218702393141124,7,6
7,31,697.9334206119858,443.630464804182,523811.2400856972,3.093565696549467,0.17286310342746314,14172.280461017788,836983.0,0.007132244282732499,7,31
7,43,180.45604421451927,836.4740367766799,276030.97242286964,3.3293130011315504,0.2712057873240796,7226.924473499137,278797.5,0.021401816419552487,7,43
7,57,41.14817131074618,684.7223926508602,279785.2189026094,2.5071517965270034,0.12091249259632128,10699.602467258463,184794.5,0.03227716882565872,7,57
8,6,578.57215660387,748.901756777295,490383.47164109093,2.9336049760003355,0.17854794701238305,15440.85759936756,442406.0,0.004629767106162338,8,6
8,31,697.6143504145618,443.7392492241107,546969.6733140674,3.061150271231732,0.14764690901254574,15350.029025253634,857051.0,0.0023898469497878583,8,31
8,43,179.92811271941227,836.4240266046398,285292.55129184417,3.196424299602321,0.2069751882670959,8356.228818481268,252429.5,0.008114192992063275,8,43
8,57,40.85535647740031,684.3229694883074,257317.3504647547,2.5836516623686503,0.1548416290603401,10536.114597215512,141532.0,0.014472396188224426,8,57
9,6,578.6695747898651,748.757487158029,479476.46230442775,2.84879981349313,0.1648510672611287,15922.237238788543,379327.0,0.01245683143795759,9,6
9,31,697.7543815154675,443.51783416562,521905.6058555177,3.0576026487034405,0.17778707519521705,14384.29386913283,840888.0,0.005621755313109225,9,31
9,43,179.62155744166196,836.703852919877,292028.30572050804,3.3380852126985436,0.25287308640753514,6875.5115349314165,267915.5,0.017631146795293103,9,43
9,57,40.56819511819211,684.8269046446343,259007.75690142953,2.6673142187338947,0.13404568403470618,9318.12747497284,144797.5,0.03259145789035435,9,57
9,91,760.9285384977794,934.7887150168867,413797.23369442497,3.1678727211825595,0.19840437289770776,10946.538101667124,808178.0,0.00584920429480789,9,91
10,6,578.752330116942,748.3592044278508,463555.6898793296,2.8280479720866607,0.14170319992085365,15274.11027288101,412913.0,0.0,10,6
10,31,698.0298201703062,443.69364003715805,526911.6147390313,3.0552937497209736,0.16049049853266825,13828.040661247303,911984.0,0.0,10,31
