frame,index,y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle
0,7,523.1852027507707,683.0324875503912,715493.7715447686,3.112810587837065,0.09220439342945516,17560.731646877768,2012052.0,0.000546563317485927,0,7
0,20,604.8892745574453,1055.7223186393612,488816.11473096476,3.492044809627601,0.31405397851879363,10010.465383244333,1391976.5,0.0007900459768646415,0,20
1,7,523.1651756364862,681.9796356427129,759719.4268567561,3.3575046885072344,0.20956464337989691,16867.734982680657,2204070.5,0.00044398496743379597,1,7
1,20,604.5481750518684,1054.1529803230032,505444.61592380895,3.2993843729668395,0.2577093149782731,12084.34745027868,1455806.5,0.0006722091985196718,1,20
2,7,523.0909397801752,681.7459913217622,746554.9707889988,3.343601372301745,0.21404120797662332,16155.418130303517,2160270.5,0.0007669110900275053,2,7
2,20,605.191512629882,1055.052136365825,457940.6090557386,3.4201137008769185,0.29074707361437213,10042.557216134619,1349266.0,0.0012279523665371318,2,20
2,83,660.5243746129489,997.7424953522699,105141.20772370505,2.7454280932638526,0.09251725477906304,4017.0228864538476,225151.5,0.007364604550727918,2,83
3,7,523.4474844788476,680.7125396851977,804933.3767035253,3.5268831539143646,0.21972576271000374,15378.27354347765,2326626.0,0.0,3,7
3,20,605.9452862773501,1052.642530762644,439555.4657213264,3.4192543457069857,0.3101223692052627,10115.121100790111,1344902.0,0.0,3,20
3,83,661.0121450183556,997.0464658405115,112170.93643477815,2.6921739517553958,0.16367051545272499,4605.258387351596,243367.5,0.0,3,83
4,7,523.6680281186492,680.8086362361696,756057.1318276199,3.490917445346756,0.2225943858274391,16002.047425521712,2213026.0,0.001063577195607771,4,7
4,20,606.1419948259133,1052.9930248772455,470079.94763884076,3.4367999946023264,0.3678651432103773,11248.964031802392,1335189.0,0.001762928134011999,4,20
5,7,523.5876877477498,680.9668791084199,771963.8982678384,3.4826609034737004,0.22638767729748913,15747.937541163576,2281995.0,0.0018820142890452907,5,7
5,20,607.5797195154082,1052.7612222200128,446768.98804281064,3.4788752694860334,0.32275034960035015,10078.680026344688,1368781.0,0.0031377094113719394,5,20
6,7,523.5230926195563,680.0003836745484,863171.5732347843,3.676137554304091,0.20740185210142795,14085.697996651179,2568007.0,0.0006333314249635357,6,7
6,20,607.455888925771,1051.88106709398,474164.8394186977,3.4608904473917392,0.3508751283135094,10946.599585968916,1398735.0,0.0011628525464540275,6,20
7,7,524.0968852100918,678.9191109055594,906257.303208958,3.7298625980054547,0.279225775499089,14564.849515858254,2613646.5,0.000315187896810362,7,7
7,20,607.2650473670116,1051.5809444449833,476756.07415242685,3.2640370007753305,0.26520899682703186,11409.132120755632,1435476.0,0.0005738926727002053,7,20
7,83,661.2602561472079,998.2174114053919,103491.34739323726,2.396244129154015,0.07952651419133627,4854.949838619418,287150.5,0.0028695107144503427,7,83
8,7,524.7941091605846,676.0635815276842,749670.9865687218,3.3832351561880407,0.2542584204401064,16645.33075512999,2381862.5,0.0009096910311249082,8,7
