frame,y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle
0,511.5819386331939,1010.9375871687587,1537.8479719023524,2.7090426600353146,0.02311227995558292,56.30196549851708,1902.0,,0,1
0,516.6614002478315,115.16852540272615,1730.8832821829822,3.051753106989867,0.0830816475736566,61.6640574507568,2029.0,,0,2
0,571.228138739619,38.75867122618466,1097.6202226234711,3.618400027520416,0.20863185255237252,28.955296542094498,1913.0,,0,13
0,572.5542623466499,150.51053790500157,1704.6090316170075,3.06462838745464,0.10626457553235778,58.98301147463694,3351.0,,0,14
0,572.2841851752743,911.5972705378646,2003.8137625519842,2.8534821152346725,0.0033073650465263644,64.88131262210064,2953.0,,0,16
0,407.8161261529307,70.38173162749182,1802.1991051477705,4.091449418693873,0.44852162770325443,44.505363203589695,2970.0,,0,21
0,422.3832838773492,797.5237388724036,1084.2149927428718,3.477211384267617,0.023100015223196064,27.346668956422583,1629.0,,0,22
0,422.4738631534212,955.6421589460264,1261.7002363620065,3.1472571183994114,0.19784476753963998,40.75189883702188,1371.0,,0,23
0,434.88857479387514,564.5427561837456,4552.416067451524,3.392467232304755,0.4196830857839992,110.45909421613827,5939.0,,0,24
0,438.2179752066116,511.9447314049587,1038.1010019536102,3.049098904960514,0.10496081841762588,31.63634251821436,1660.0,,0,25
0,454.6930111038537,102.83135205747877,4104.681389439507,3.178162753014791,0.06686959566242573,113.14014019225813,6179.0,,0,29
0,469.03239370814515,922.8413019778851,3442.9992425331257,2.79399650072015,0.24649553236738728,108.31425743524238,5181.0,,0,30
0,469.818793828892,497.6844319775596,1911.585780973461,3.306969138166459,0.1799478280673381,48.2588275701575,2048.0,,0,33
0,481.8071383844709,1003.0701314965561,1712.652169545367,2.3031110700804494,0.20946242167823523,88.47451721195542,2764.0,,0,35
0,408.02922873844994,675.9892513671507,2843.5173622727243,2.2145014324629684,0.013913671080973043,131.37125282987319,3478.0,,0,38
0,587.5046224961479,679.9309193631227,2087.9986062021476,2.634662859290795,0.22440359139607752,87.93830801673144,3048.0,,0,39
0,707.0909581161244,943.9210857451015,2982.931753030957,2.548645895665383,0.11173684683724229,101.87974709255472,4513.0,,0,42
0,716.1167042889391,832.6762979683973,2375.406734842197,2.298836686862905,0.02942402811164029,108.31425743524238,3334.0,,0,43
