frame,y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle
0,9.502055196711686,563.1770405167351,2346.6230959179106,3.3636078692123674,0.16088376473069427,59.25119972076932,17728.0,,0,0
0,383.35731887629373,191.67668802365696,1397.9149329469878,6.45563393190704,0.062499207548993616,28.247664983157467,18251.0,,0,1
0,372.57756132756134,703.4188311688312,1909.8177398368903,4.030099594514104,0.1852519173999315,39.960111439588616,19128.0,,0,2
0,373.7662295081967,906.7367213114754,2101.3506877714703,3.1786170825340143,0.05638952871549759,55.80636252770134,20768.0,,0,3
0,366.03184025903937,983.4193200215866,1276.6566637509948,4.943283286361149,0.4152992130366397,19.29108828118071,15553.0,,0,5
0,355.5916955017301,840.1398912506179,1393.7811283153062,4.194893678132426,0.3425946110429428,32.38146961483905,18752.0,,0,6
0,344.50873786407766,858.957281553398,1064.454692658007,5.6039167994489025,0.49461275867428234,18.602120842567114,15231.0,,0,8
0,338.7214452214452,484.59615384615387,1182.268124660932,5.1802588337921485,0.39540247863489536,19.980055719794308,13730.0,,0,10
0,295.3193197921587,928.0212564950401,1458.5440675449845,3.150679797083574,0.1297029928302577,43.4049486326566,16932.0,,0,14
0,285.7263067202757,856.0152211372774,2398.984621252544,3.588945309131315,0.23542694360234334,50.294623018792564,20525.0,,0,15
0,382.56288209606987,231.61266375545853,1577.7354344251366,4.132943588705704,0.1170289355276535,46.160818387110986,16755.0,,0,20
0,247.30991337824832,13.18334937439846,1431.6743374390542,4.0287107250175,0.28236177322813527,39.27114400097502,18500.0,,0,21
0,399.06598778004076,478.4496945010183,1691.41506179638,2.1914479213189986,0.07179903437056497,100.58924603758513,16592.0,,0,23
0,517.7230597431602,320.90508096035734,3701.8220476708557,3.138350877635542,0.26121305986903126,104.03408323065311,18953.0,,0,25
0,484.5935908954777,698.4189877208745,2300.4622775308,3.809478885629097,0.20201192521428654,50.294623018792564,20156.0,,0,28
0,449.1489888567891,886.4832851836567,1669.368103760745,3.037392499910777,0.23331782457001843,57.87326484354213,19073.0,,0,34
0,413.75705277132425,706.7573846664454,2075.858892542767,3.3082082189076596,0.2558855876989882,57.184297404928536,17977.0,,0,39
0,402.41535940060874,433.29946148442986,2942.579930318672,3.557370062379198,0.2608391637442949,66.14087410690529,20017.0,,0,42
0,373.75279805352795,641.1708029197081,1415.8280863509415,6.2908808987098,0.24440228426591304,21.3579905970215,18709.0,,0,45
0,237.4996993385448,484.2687913409501,1145.7528504144116,3.9304690421323194,0.18237938069129325,27.55869754454387,17629.0,,0,46
0,106.51302700142112,817.3477025106585,1454.4102629133029,4.209798860093477,0.19365055194045092,48.91668814156537,18485.0,,0,47
0,95.32744340143567,86.91385974599669,1247.7200313292237,3.3563442814161375,0.12657236826900928,37.20424168513423,16817.0,,0,48
0,82.87853949329359,260.45777446597117,2773.782907858341,4.090263237641824,0.24023967926630616,50.983590457406166,19442.0,,0,49
0,64.56304801670146,756.4889352818371,3300.1540309591287,2.8740796838688305,0.13363410983420962,114.36859480985707,18646.0,,0,52
